INFO 2026-02-13 18:08:11,549 log "GET /static/admin/img/icon-info-dark.svg HTTP/1.1" 200 630
INFO 2026-02-13 18:08:17,311 log "GET /admin/ttgen/division/ HTTP/1.1" 200 11866
INFO 2026-02-13 18:08:17,616 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:28,632 log "GET /admin/ttgen/division/add/ HTTP/1.1" 200 14532
INFO 2026-02-13 18:08:28,946 log "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
INFO 2026-02-13 18:08:28,951 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:40,421 log "POST /admin/ttgen/division/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:08:40,439 log "GET /admin/ttgen/division/ HTTP/1.1" 200 13783
INFO 2026-02-13 18:08:40,453 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:42,913 log "GET /admin/ttgen/division/add/ HTTP/1.1" 200 14532
INFO 2026-02-13 18:08:42,927 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:49,515 log "POST /admin/ttgen/division/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:08:49,530 log "GET /admin/ttgen/division/ HTTP/1.1" 200 14151
INFO 2026-02-13 18:08:49,547 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:54,083 log "GET /admin/ttgen/division/add/ HTTP/1.1" 200 14532
INFO 2026-02-13 18:08:54,099 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:00,112 log "POST /admin/ttgen/division/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:09:00,127 log "GET /admin/ttgen/division/ HTTP/1.1" 200 14518
INFO 2026-02-13 18:09:00,141 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:01,974 log "GET /admin/ttgen/division/add/ HTTP/1.1" 200 14532
INFO 2026-02-13 18:09:01,987 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:06,774 log "POST /admin/ttgen/division/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:09:06,790 log "GET /admin/ttgen/division/ HTTP/1.1" 200 14885
INFO 2026-02-13 18:09:06,807 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:17,193 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:09:17,543 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:42,620 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:09:42,645 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 15134
INFO 2026-02-13 18:09:42,668 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:42,705 log "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1761
INFO 2026-02-13 18:09:45,640 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:09:45,654 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:46,322 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:09:46,337 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:54,175 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:09:54,192 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 15472
INFO 2026-02-13 18:09:54,207 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:57,043 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:09:57,058 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:10:05,043 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:10:05,060 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 15809
INFO 2026-02-13 18:10:05,078 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:10:07,507 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:10:07,811 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:10:14,411 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:10:14,430 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 16146
INFO 2026-02-13 18:10:14,445 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:10:21,839 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:10:21,854 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:10:27,831 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:10:27,848 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 16483
INFO 2026-02-13 18:10:27,863 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:10:30,125 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:10:30,144 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:10:35,809 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:10:35,826 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 16820
INFO 2026-02-13 18:10:35,840 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:10:39,209 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:10:39,226 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:10:45,534 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:10:45,555 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 17157
INFO 2026-02-13 18:10:45,573 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:00,049 log "GET /admin/ttgen/batch/7/change/ HTTP/1.1" 200 14767
INFO 2026-02-13 18:11:00,375 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:06,160 log "POST /admin/ttgen/batch/7/change/ HTTP/1.1" 302 0
INFO 2026-02-13 18:11:06,179 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 17159
INFO 2026-02-13 18:11:06,195 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:11,172 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:11:11,189 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:18,144 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:11:18,162 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 17494
INFO 2026-02-13 18:11:18,178 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:20,057 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:11:20,072 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:26,045 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:11:26,067 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 17831
INFO 2026-02-13 18:11:26,087 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:27,924 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:11:27,944 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:32,242 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:11:32,260 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 18174
INFO 2026-02-13 18:11:32,275 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:33,741 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:11:33,756 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:39,134 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:11:39,152 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 18513
INFO 2026-02-13 18:11:39,168 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:40,600 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:11:40,615 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:45,153 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:11:45,173 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 18852
INFO 2026-02-13 18:11:45,191 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:46,520 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:11:46,536 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:11:55,064 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:11:55,084 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 19191
INFO 2026-02-13 18:11:55,101 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:12:01,389 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:12:01,406 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:12:09,840 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:12:09,860 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 19530
INFO 2026-02-13 18:12:09,877 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:12:11,740 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:12:11,757 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:12:17,253 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:12:17,273 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 19869
INFO 2026-02-13 18:12:17,295 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:12:18,807 log "GET /admin/ttgen/batch/add/ HTTP/1.1" 200 14551
INFO 2026-02-13 18:12:18,825 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:12:23,981 log "POST /admin/ttgen/batch/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:12:24,000 log "GET /admin/ttgen/batch/ HTTP/1.1" 200 20208
INFO 2026-02-13 18:12:24,018 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:14:20,885 log "GET /admin/ttgen/instructor/add/ HTTP/1.1" 200 12625
INFO 2026-02-13 18:14:21,252 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:14:31,859 log "POST /admin/ttgen/instructor/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:14:31,899 log "GET /admin/ttgen/instructor/ HTTP/1.1" 200 13562
INFO 2026-02-13 18:14:31,957 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:14:33,068 log "GET /admin/ttgen/instructor/add/ HTTP/1.1" 200 12625
INFO 2026-02-13 18:14:33,092 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:14:49,343 log "POST /admin/ttgen/instructor/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:14:49,363 log "GET /admin/ttgen/instructor/ HTTP/1.1" 200 13886
INFO 2026-02-13 18:14:49,394 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:14:51,056 log "GET /admin/ttgen/instructor/add/ HTTP/1.1" 200 12625
INFO 2026-02-13 18:14:51,075 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:14:59,515 log "POST /admin/ttgen/instructor/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:14:59,546 log "GET /admin/ttgen/instructor/ HTTP/1.1" 200 14202
